shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0003,0.01,0.7,10,51,51,57.8,67.1,50.8,34.9,0.68585104,0.674107671,0.688735722,0.688712835
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.01,0.99,10,55.1,55.1,58.7,63.7,54.4,46.6,0.697211997,0.688352942,0.693746155,0.693088472
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.0003,0.7,10,54.5,54.5,57.5,61.6,53.9,47.3,0.688437145,0.682543516,0.018231542,1.652827501
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.0001,0.7,10,56.8,56.8,58.3,60.3,56.4,53.4,0.654466535,0.679383576,0.052804967,1.863298774
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.01,0.001,0.7,10,48.6,48.6,64.8,94.5,49.3,2.7,0.690703925,0.685544908,0.699085509,0.68772161
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.01,0.0001,0.99,10,50,50,0,0,NaN,100,0.842896573,0.693160295,1.503510504,1.615045071
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.01,0.99,10,50,50,0,0,NaN,100,0.694956919,0.693146706,0.693658089,0.693148136
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0003,0.001,0.7,10,46.9,46.9,53.2,60.3,47.6,33.6,0.708641215,0.683790684,0.628379281,0.714549065
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.97333844,0.694876492,0.72336709,0.709485233
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.0003,0.003,0.9,10,46.2,46.2,53.1,61,47.1,31.5,0.704078785,0.688010871,0.693802818,0.693151832
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.0001,0.01,0.7,10,53.4,53.4,57.2,62.3,52.9,44.5,0.680145964,0.685792208,0.625197323,0.719035745
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.003,0.001,0.9,10,49.7,49.7,57.6,68.5,49.8,30.8,0.715827698,0.69328481,0.707803796,0.694892049
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.01,0.0003,0.9,10,50.7,50.7,66,95.9,50.4,5.5,0.765754894,0.693191826,0.765754894,0.693191826
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0001,0.003,0.9,10,55.8,55.8,58,61,55.3,50.7,0.675565038,0.688943565,0.555646092,0.77694428
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.003,0.0001,0.99,10,50,50,66.7,100,50,0,0.846303157,0.683477521,0.762287088,0.791033268
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.0001,0.9,10,49.7,49.7,66.4,99.3,49.8,0,0.705661862,0.693150043,0.698071935,0.694045246
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.0001,0.0001,0.9,10,57.5,57.5,58.7,60.3,57.1,54.8,0.67470519,0.674386919,0.000337275,2.511600256
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.01,0.003,0.99,10,49.7,49.7,66.4,99.3,49.8,0,2.333291406,0.693126798,1.808132341,1.052663803
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.01,0.01,0.7,10,45.2,45.2,54.3,65.1,46.6,25.3,0.883396839,0.692765713,0.715913886,0.697596848
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0003,0.003,0.9,10,51.4,51.4,55.6,61,51.1,41.8,0.696827199,0.692045689,0.694296061,0.693299472
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.01,0.001,0.99,10,51.4,51.4,66.8,97.9,50.7,4.8,0.888486233,0.693335235,0.908052222,0.693572044
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.003,0.001,0.7,10,44.2,44.2,52.5,61.6,45.7,26.7,0.690685597,0.689785004,0.697228583,0.692340612
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.01,0.7,10,53.4,53.4,64,82.9,52.2,24,0.693676762,0.693151832,0.693159619,0.693152905
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0003,0.01,0.9,10,56.2,56.2,59,63,55.4,49.3,0.69714648,0.685011148,0.693111609,0.692204535
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.003,0.9,10,50,50,66.7,100,50,0,0.693388462,0.693147302,0.693255156,0.693160355
