shuffle_ds,,,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,32,0.0001,0.0003,0.99,5,62.04,63.956,54.96,69.7,45.58,58.22,0.674118138232682,0.6880166888237
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,magnitude,1,none,64,0.0001,0.0003,0.9,5,68.348,70.898,62.528,78.64,52.1,63.16,0.721997773647308,0.705236029624939
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,0,none,32,0.003,0.001,0.9,5,64.124,66.01,57.232,71.74,47.78,60.3,0.639247396328889,0.633151948451996
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,power,1,none,16,0.003,0.001,0.99,5,64.518,65.456,56.334,68.28,48.26,62.62,0.665880697856488,0.677259111404419
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,power,1,none,64,0.001,0.001,0.7,5,60.248,62.876,55.132,71.04,45.24,54.7,0.676205636831676,0.72440447807312
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,0,none,32,0.0001,0.003,0.99,5,67.738,69.076,60.26,73.1,51.5,65.04,0.621533821841486,0.683786427974701
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,magnitude,1,none,64,0.01,0.0003,0.99,5,67.196,68.666,59.838,73.1,51.02,64.22,0.648239840333145,0.642517864704132
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,power,1,none,16,0.0001,0.0001,0.99,5,68.398,69.738,61.422,73.78,53.02,65.66,0.918228596752113,0.79686906337738
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,magnitude,0,none,32,0.001,0.0003,0.99,5,66.668,68.924,60.258,75.88,50.2,61.98,0.622537720345221,0.654293274879456
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,power,0,none,32,0.003,0.001,0.9,5,70.114,71.896,63.228,77.28,54.08,66.56,0.596062966511159,0.608575880527496
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,power,0,none,32,0.0001,0.0001,0.9,5,72.798,73.558,65.128,75.86,57.38,71.24,0.3262927845501,1.04343203306198
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,magnitude,1,none,16,0.001,0.01,0.7,5,63.812,66.632,58.3,75.16,47.9,58.1,0.627723615341218,0.664204037189484
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,0,none,32,0.003,0.003,0.99,5,61.38,63.62,55.076,70.34,45.54,56.92,0.711420503183165,0.679973220825195
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,magnitude,1,none,64,0.0001,0.003,0.99,5,68.57,71.906,63.876,82.08,52.66,61.74,0.732102382183075,0.701577079296112
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,magnitude,1,none,32,0.003,0.01,0.7,5,38.388,50.344,48.302,86.22,33.84,14.46,0.695857111195813,0.691786205768585
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,magnitude,0,none,64,0.0001,0.0001,0.99,5,68.892,69.416,60.342,71.06,53.18,67.8,0.713223135471344,0.696484923362732
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,magnitude,0,none,32,0.0003,0.0003,0.99,5,65.748,66.898,57.86,70.38,49.32,63.44,0.710812366008759,0.698490166664124
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,magnitude,0,none,32,0.01,0.003,0.9,5,60.978,62.62,53.918,67.6,45.06,57.66,0.713305787160625,0.676739692687988
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,1,none,16,0.0003,0.003,0.7,5,66.436,67.93,59.14,72.4,50.18,63.46,0.656640494680954,0.695447206497192
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,magnitude,1,none,32,0.0003,0.0001,0.9,5,65.214,66.328,57.144,69.66,48.74,62.98,0.712288641929626,0.747314393520355
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,magnitude,0,none,16,0.001,0.001,0.9,5,67.126,68.792,60.116,73.82,50.96,63.8,0.644243780085959,0.648230564594269
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,power,0,none,32,0.01,0.0001,0.7,5,63.6,66.322,57.708,74.5,47.38,58.16,0.655978335545727,0.702180540561676
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,power,0,none,16,0.0001,0.0003,0.9,5,69.742,71.098,62.516,75.18,53.86,67.02,0.761716628074646,0.741718626022339
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,magnitude,1,none,32,0.01,0.001,0.99,5,50.958,51.036,29.214,51.06,NaN,51.02,0.737068947285012,0.68747923374176
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.75,magnitude,0,none,64,0.0001,0.001,0.99,5,65.442,67.356,58.48,73.12,49.18,61.62,1.01946716795171,0.796290612220764
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,magnitude,1,none,64,0.0001,0.01,0.7,5,69.816,71.494,62.96,76.58,53.86,66.42,0.669940203911338,0.671659851074219
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,0,none,64,0.0001,0.0003,0.99,5,70.284,71.854,63.32,76.58,54.36,67.14,0.710675597190857,0.709330379962921
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,power,0,none,32,0.001,0.001,0.99,5,62.026,63.57,54.792,68.28,45.86,58.84,0.624079504447872,0.69135035276413
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,1,none,64,0.0003,0.0001,0.7,5,65.288,66.38,57.272,69.66,48.76,63.1,0.687902460237757,0.692928290367126
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,magnitude,0,none,64,0.003,0.001,0.9,5,42.852,53.982,50.56,87.6,36,20.38,0.693730851279086,0.684262204170227
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.9,power,1,none,16,0.0001,0.001,0.7,5,68.682,69.428,60.716,71.74,52.92,67.12,0.730340397357941,0.708908760547638
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,0,none,64,0.01,0.003,0.9,5,38.16,51.206,49.336,90.36,34.1,12.06,0.728981724082257,0.692387127876282
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,0,none,32,0.001,0.01,0.99,5,65.58,67.284,58.69,72.42,49.66,62.14,0.611570060808489,0.648051559925079
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,power,0,none,64,0.01,0.001,0.7,5,58.626,60.674,52.26,66.92,43.26,54.44,0.649082048068313,0.710492563247681
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,power,1,none,64,0.001,0.01,0.99,5,44.928,52.6,48.132,75.88,35.88,29.34,0.686923008498136,0.691907906532288
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,power,0,none,32,0.0003,0.001,0.9,5,68.886,70.796,62.422,76.56,52.8,65.02,0.616000470958771,0.72719167470932
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,0,none,64,0.01,0.003,0.9,5,60.55,63.304,55.522,71.74,46.16,54.88,0.672168299293331,0.662453079223633
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,magnitude,1,none,64,0.01,0.003,0.7,5,70.038,70.964,62.12,73.8,54.18,68.12,0.584267011580535,0.637663817405701
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.9,power,1,none,16,0.001,0.001,0.99,5,64.46,65.754,57.22,69.66,49.16,61.84,0.644468721743592,0.670803654193878
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,magnitude,1,none,64,0.01,0.0003,0.99,5,68.678,68.062,58.602,66.22,52.62,69.92,0.668451238483285,0.648193621635437
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,1,none,32,0.0001,0.003,0.7,5,69.142,70.09,62.02,73.14,54.74,67.08,0.63482007918088,0.701590371131897
